const ArizonaCardinalsPost,Arizona Cardinals
const AtlantaFalconsPost,Atlanta Falcons
const BaltimoreRavensPost,Baltimore Ravens
const BuffaloBillsPost,Buffalo Bills
const CarolinaPanthersPost,Carolina Panthers
const ChicagoBearsPost,Chicago Bears
const CincinnatiBengalsPost,Cincinnati Bengals
const ClevelandBrownsPost,Cleveland Browns
const DallasCowboysPost,Dallas Cowboys
const DenverBroncosPost,Denver Broncos
const DetroitLionsPost,Detroit Lions
const GreenBayPackersPost,Green Bay Packers
const HoustonTexansPost,Houston Texans
const IndianapolisColtsPost,Indianapolis Colts
const JacksonvilleJaguarsPost,Jacksonville Jaguars
const KansasCityChiefsPost,Kansas City Chiefs
const LasVegasRaidersPost,Las Vegas Raiders
const LosAngelesChargersPost,Los Angeles Chargers
const LosAngelesRamsPost,Los Angeles Rams
const MiamiDolphinsPost,Miami Dolphins
const MinnesotaVikingsPost,Minnesota Vikings
const NewEnglandPatriotsPost,New England Patriots
const NewOrleansSaintsPost,New Orleans Saints
const NewYorkGiantsPost,New York Giants
const NewYorkJetsPost,New York Jets
const PhiladelphiaEaglesPost,Philadelphia Eagles
const PittsburghSteelersPost,Pittsburgh Steelers
const SanFrancisco49ersPost,San Francisco 49ers
const SeattleSeahawksPost,Seattle Seahawks
const TampaBayBuccaneersPost,Tampa Bay Buccaneers
const TennesseeTitansPost,Tennessee Titans
const WashingtonCommandersPost,Washington Commanders
,
,
,
,
,
,
,
,
,
,
